id;name;city;country;iata;icao;tz
6063;Dalton Municipal Airport;Dalton;United States;DNN;KDNN;America/New_York
6064;West Georgia Regional O V Gray Field;Carrollton;United States;NULL;KCTJ;America/New_York
6065;LaGrange Callaway Airport;LaGrange;United States;LGC;KLGC;America/New_York
6066;Baldwin County Regional Airport;Milledgeville;United States;NULL;KMLJ;America/New_York
6067;Harris County Airport;Pine Mountain;United States;PIM;KPIM;America/New_York
6068;Peachtree City Falcon Field;Atlanta;United States;NULL;KFFC;America/New_York
6069;Lee Gilmer Memorial Airport;Gainesville;United States;GVL;KGVL;America/New_York
6070;Harry Clever Field;New Philadelpha;United States;PHD;KPHD;America/New_York
6071;Darlington County Airport;Darlington;United States;NULL;KUDG;America/New_York
6072;Hilton Head Airport;Hilton Head Island;United States;HHH;KHXD;America/New_York
6073;Daniel Field;Augusta;United States;DNL;KDNL;America/New_York
6074;Foothills Regional Airport;Morganton;United States;MRN;KMRN;America/New_York
6075;Pike County-Hatcher Field;Pikeville;United States;PVL;KPBX;America/New_York
6076;Mallards Landing Airport;Locust Grove;United States;NULL;GA04;America/New_York
6077;Toccoa Airport - R.G. Letourneau Field;Toccoa;United States;TOC;KTOC;America/New_York
6078;Compton Abbas Aerodrome;Shaftesbury;United Kingdom;NULL;EGHA;Europe/London
6079;Suprunovka Airport;Poltava;Ukraine;PLV;UKHP;Europe/Kiev
6080;Aweil Airport;Aweil;Sudan;NULL;HSAW;Africa/Juba
6081;Wau Airport;Wau;Sudan;WUU;HSWW;Africa/Juba
6082;Humera Airport;Humera;Ethiopia;HUE;HAHU;Africa/Addis_Ababa
6083;Moyale Airport;Moyale;Kenya;OYL;HKMY;Africa/Nairobi
6084;Zagora Airport;Zagora;Morocco;OZG;GMAZ;Africa/Casablanca
6085;Yengema Airport;Yengema;Sierra Leone;WYE;GFYE;Africa/Freetown
6086;Gbangbatok Airport;Gbangbatok;Sierra Leone;GBK;GFGK;Africa/Freetown
6087;Turukhansk Airport;Turukhansk;Russia;THX;UOTT;Asia/Krasnoyarsk
6088;Podkamennaya Tunguska Airport;Bor;Russia;TGP;UNIP;Asia/Krasnoyarsk
6089;Fort Worth Alliance Airport;Fort Worth;United States;AFW;KAFW;America/Chicago
6090;East Troy Municipal Airport;East Troy;United States;NULL;K57C;America/Chicago
6091;Kolpashevo Airport;Kolpashevo;Russia;NULL;UNLL;Asia/Krasnoyarsk
6092;Ali Al Salem Air Base;Kuwait;Kuwait;NULL;OKAS;Asia/Kuwait
6093;Renmark Airport;Renmark;Australia;RMK;YREN;Australia/Adelaide
6094;Leigh Creek Airport;Leigh Creek;Australia;LGH;YLEC;Australia/Adelaide
6095;Warburton Airport;Warburton Community;Australia;NULL;YWBR;Australia/Perth
6096;Cunderdin Airport;Cunderdin;Australia;NULL;YCUN;Australia/Perth
6097;Rottnest Island Airport;Rottnest Island;Australia;RTS;YRTI;Australia/Perth
6098;Forrest Airport;Forrest;Australia;FOS;YFRT;Australia/Perth
6099;Ballarat Airport;Ballarat;Australia;NULL;YBLT;Australia/Hobart
6100;Keewaywin Airport;Keewaywin;Canada;KEW;CPV8;America/Winnipeg
6101;Marathon Airport;Marathon;Canada;YSP;CYSP;America/Toronto
6102;Hearst René Fontaine Municipal Airport;Hearst;Canada;YHF;CYHF;America/Toronto
6103;Hornepayne Municipal Airport;Hornepayne;Canada;YHN;CYHN;America/Toronto
6104;Kirkland Lake Airport;Kirkland Lake;Canada;YKX;CYKX;America/Toronto
6105;Manitouwadge Airport;Manitouwadge;Canada;YMG;CYMG;America/Toronto
6106;Wawa Airport;Wawa;Canada;YXZ;CYXZ;America/Toronto
6107;Manitoulin East Municipal Airport;Manitowaning;Canada;YEM;CYEM;America/Toronto
6108;Slate Falls Airport;Slate Falls;Canada;NULL;CKD9;America/Winnipeg
6109;Collingwood Airport;Collingwood;Canada;NULL;CNY3;America/Toronto
6110;Brantford Municipal Airport;Brantford;Canada;NULL;CYFD;America/Toronto
6111;Lawrence Municipal Airport;Lawrence;United States;LWC;KLWC;America/Chicago
6112;Wellington Municipal Airport;Wellington;United States;NULL;KEGT;America/Chicago
6113;Pompano Beach Airpark;Pompano Beach;United States;PPM;KPMP;America/New_York
6114;Mallacoota Airport;Mallacoota;Australia;XMC;YMCO;Australia/Hobart
6115;Majeed Bin Abdulaziz Airport;Al-Ula;Saudi Arabia;ULH;OEAO;Asia/Riyadh
6116;Shelby County Airport;Alabaster;United States;NULL;KEET;America/Chicago
6117;Yuendumu Airport;Yuendumu ;Australia;YUE;YYND;Australia/Darwin
6119;Lombok International Airport;Praya;Indonesia;LOP;WADL;Asia/Makassar
6120;One Hundred Mile House Airport;One Hundred Mile House;Canada;NULL;CAV3;America/Vancouver
6121;South Cariboo Region / 108 Mile Airport;108 Mile Ranch;Canada;ZMH;CZML;America/Vancouver
6122;Glasgow City Heliport;Glasgow;United Kingdom;NULL;EGEG;Europe/London
6123;Yarram Airport;Yarram;Australia;NULL;YYRM;Australia/Hobart
6124;Handan Airport;Handan;China;HDG;ZBHD;Asia/Shanghai
6125;Indianapolis Metropolitan Airport;Indianapolis;United States;NULL;KUMP;America/New_York
6126;London-Corbin Airport/Magee Field;London;United States;LOZ;KLOZ;America/New_York
6127;Simmons Army Air Field;Fredericksburg;United States;FBG;KFBG;America/New_York
6128;Modlin Airport;Warsaw;Poland;WMI;EPMO;Europe/Warsaw
6129;Jixi Xingkaihu Airport;Jixi;China;JXA;ZYJX;Asia/Shanghai
6130;Jeongseok Airport;Seogwipo;South Korea;JDG;RKPD;Asia/Seoul
6131;Gimli Industrial Park Airport;Gimli;Canada;YGM;CYGM;America/Winnipeg
6132;Matheson Island Airport;Matheson Island;Canada;NULL;CJT2;America/Winnipeg
6133;Tura Mountain Airport;Tura;Russia;NULL;UNIT;Asia/Krasnoyarsk
6134;Beloyarskiy Airport;Beloyarsky;Russia;EYK;USHY;Asia/Yekaterinburg
6135;John H Batten Airport;Racine;United States;RAC;KRAC;America/Chicago
6136;Cesar Lim Rodriguez Airport;Taytay;Philippines;RZP;RPSD;Asia/Manila
