id;name;city;country;iata;icao;tz
1728;General Juan N Alvarez International Airport;Acapulco;Mexico;ACA;MMAA;America/Mexico_City
1729;Del Norte International Airport;Monterrey;Mexico;NTR;MMAN;America/Mexico_City
1730;Jesús Terán Paredo International Airport;Aguascalientes;Mexico;AGU;MMAS;America/Mexico_City
1731;Bahías de Huatulco International Airport;Huatulco;Mexico;HUX;MMBT;America/Mexico_City
1732;General Mariano Matamoros Airport;Cuernavaca;Mexico;CVJ;MMCB;America/Mexico_City
1733;Ciudad Acuña New International Airport;Ciudad Acuna;Mexico;ACN;MMCC;America/Mexico_City
1734;Ciudad del Carmen International Airport;Ciudad Del Carmen;Mexico;CME;MMCE;America/Mexico_City
1735;Nuevo Casas Grandes Airport;Nuevo Casas Grandes;Mexico;NCG;MMCG;America/Mazatlan
1736;Chilpancingo Airport;Chilpancingo;Mexico;NULL;MMCH;America/Mexico_City
1737;Bachigualato Federal International Airport;Culiacan;Mexico;CUL;MMCL;America/Mazatlan
1738;Chetumal International Airport;Chetumal;Mexico;CTM;MMCM;America/Cancun
1739;Ciudad Obregón International Airport;Ciudad Obregon;Mexico;CEN;MMCN;America/Hermosillo
1740;Ingeniero Alberto Acuña Ongay International Airport;Campeche;Mexico;CPE;MMCP;America/Mexico_City
1741;Abraham González International Airport;Ciudad Juarez;Mexico;CJS;MMCS;America/Mazatlan
1742;General Roberto Fierro Villalobos International Airport;Chihuahua;Mexico;CUU;MMCU;America/Mazatlan
1743;General Pedro Jose Mendez International Airport;Ciudad Victoria;Mexico;CVM;MMCV;America/Mexico_City
1744;Cozumel International Airport;Cozumel;Mexico;CZM;MMCZ;America/Cancun
1745;General Guadalupe Victoria International Airport;Durango;Mexico;DGO;MMDO;America/Mexico_City
1746;Amado Nervo National Airport;Tepic;Mexico;TPQ;MMEP;America/Mazatlan
1747;Ensenada International Airport;Ensenada;Mexico;ESE;MMES;America/Tijuana
1748;Don Miguel Hidalgo Y Costilla International Airport;Guadalajara;Mexico;GDL;MMGL;America/Mexico_City
1749;General José María Yáñez International Airport;Guaymas;Mexico;GYM;MMGM;America/Hermosillo
1750;Tehuacan Airport;Tehuacan;Mexico;TCN;MMHC;America/Mexico_City
1751;General Ignacio P. Garcia International Airport;Hermosillo;Mexico;HMO;MMHO;America/Hermosillo
1752;Licenciado Miguel de la Madrid Airport;Colima;Mexico;CLQ;MMIA;America/Mexico_City
1753;Isla Mujeres Airport;Isla Mujeres;Mexico;ISJ;MMIM;America/Cancun
1754;Plan De Guadalupe International Airport;Saltillo;Mexico;SLW;MMIO;America/Mexico_City
1755;Ixtepec Airport;Iztepec;Mexico;IZT;MMIT;America/Mexico_City
1756;Lázaro Cárdenas Airport;Lazard Cardenas;Mexico;LZC;MMLC;America/Mexico_City
1757;Valle del Fuerte International Airport;Los Mochis;Mexico;LMM;MMLM;America/Mazatlan
1758;Del Bajío International Airport;Del Bajio;Mexico;BJX;MMLO;America/Mexico_City
1759;Manuel Márquez de León International Airport;La Paz;Mexico;LAP;MMLP;America/Mazatlan
1760;Loreto International Airport;Loreto;Mexico;LTO;MMLT;America/Mazatlan
1761;General Servando Canales International Airport;Matamoros;Mexico;MAM;MMMA;America/Mexico_City
1762;Licenciado Manuel Crescencio Rejon Int Airport;Merida;Mexico;MID;MMMD;America/Mexico_City
1763;General Rodolfo Sánchez Taboada International Airport;Mexicali;Mexico;MXL;MMML;America/Tijuana
1764;General Francisco J. Mujica International Airport;Morelia;Mexico;MLM;MMMM;America/Mexico_City
1765;Minatitlán/Coatzacoalcos National Airport;Minatitlan;Mexico;MTT;MMMT;America/Mexico_City
1766;Monclova International Airport;Monclova;Mexico;LOV;MMMV;America/Mexico_City
1767;Licenciado Benito Juarez International Airport;Mexico City;Mexico;MEX;MMMX;America/Mexico_City
1768;General Mariano Escobedo International Airport;Monterrey;Mexico;MTY;MMMY;America/Mexico_City
1769;General Rafael Buelna International Airport;Mazatlan;Mexico;MZT;MMMZ;America/Mazatlan
1770;Nogales International Airport;Nogales;Mexico;NOG;MMNG;America/Hermosillo
1771;Quetzalcóatl International Airport;Nuevo Laredo;Mexico;NLD;MMNL;America/Mexico_City
1772;Xoxocotlán International Airport;Oaxaca;Mexico;OAX;MMOX;America/Mexico_City
1773;El Tajín National Airport;Poza Rico;Mexico;PAZ;MMPA;America/Mexico_City
1774;Hermanos Serdán International Airport;Puebla;Mexico;PBC;MMPB;America/Mexico_City
1775;Ingeniero Juan Guillermo Villasana Airport;Pachuca;Mexico;NULL;MMPC;America/Mexico_City
1776;Mar de Cortés International Airport;Punta Penasco;Mexico;PPE;MMPE;America/Hermosillo
1777;Piedras Negras International Airport;Piedras Negras;Mexico;PDS;MMPG;America/Mexico_City
1778;Licenciado y General Ignacio Lopez Rayon Airport;Uruapan;Mexico;UPN;MMPN;America/Mexico_City
1779;Licenciado Gustavo Díaz Ordaz International Airport;Puerto Vallarta;Mexico;PVR;MMPR;America/Mexico_City
1780;Puerto Escondido International Airport;Puerto Escondido;Mexico;PXM;MMPS;America/Mexico_City
1781;Querétaro Intercontinental Airport;Queretaro;Mexico;QRO;MMQT;America/Mexico_City
1782;General Lucio Blanco International Airport;Reynosa;Mexico;REX;MMRX;America/Mexico_City
1783;Los Cabos International Airport;San Jose Del Cabo;Mexico;SJD;MMSD;America/Mazatlan
1784;San Felipe International Airport;San Filipe;Mexico;SFH;MMSF;America/Tijuana
1785;Ponciano Arriaga International Airport;San Luis Potosi;Mexico;SLP;MMSP;America/Mexico_City
1786;Tlaxcala Airport;Tlaxcala;Mexico;NULL;MMTA;America/Mexico_City
1787;Terán Air Base;Tuxtla Gutierrez;Mexico;NULL;MMTB;America/Mexico_City
1788;Francisco Sarabia International Airport;Torreon;Mexico;TRC;MMTC;America/Mexico_City
1789;Angel Albino Corzo International Airport;Tuxtla Gutierrez;Mexico;TGZ;MMTG;America/Mexico_City
1790;General Abelardo L. Rodríguez International Airport;Tijuana;Mexico;TIJ;MMTJ;America/Tijuana
1791;General Francisco Javier Mina International Airport;Tampico;Mexico;TAM;MMTM;America/Mexico_City
1792;Tamuin Airport;Tamuin;Mexico;TSL;MMTN;America/Mexico_City
1793;Licenciado Adolfo Lopez Mateos International Airport;Toluca;Mexico;TLC;MMTO;America/Mexico_City
1794;Tapachula International Airport;Tapachula;Mexico;TAP;MMTP;America/Mexico_City
1795;Cancún International Airport;Cancun;Mexico;CUN;MMUN;America/Cancun
1796;Carlos Rovirosa Pérez International Airport;Villahermosa;Mexico;VSA;MMVA;America/Mexico_City
1797;General Heriberto Jara International Airport;Vera Cruz;Mexico;VER;MMVR;America/Mexico_City
1798;General Leobardo C. Ruiz International Airport;Zacatecas;Mexico;ZCL;MMZC;America/Mexico_City
1799;Ixtapa Zihuatanejo International Airport;Zihuatanejo;Mexico;ZIH;MMZH;America/Mexico_City
1800;Zamora Airport;Zamora;Mexico;ZMM;MMZM;America/Mexico_City
1801;Playa De Oro International Airport;Manzanillo;Mexico;ZLO;MMZO;America/Mexico_City
1802;Zapopan Airport;Zapopan;Mexico;NULL;MMZP;America/Mexico_City
1803;Bluefields Airport;Bluefields;Nicaragua;BEF;MNBL;America/Managua
1804;Los Brasiles Airport;Los Brasiles;Nicaragua;NULL;MNBR;America/Managua
1805;Leon (Fanor Urroz) Airport;Leon;Nicaragua;NULL;MNLN;America/Managua
1806;Augusto C. Sandino (Managua) International Airport;Managua;Nicaragua;MGA;MNMG;America/Managua
1807;Puerto Cabezas Airport;Puerto Cabezas;Nicaragua;PUZ;MNPC;America/Managua
1808;Bocas Del Toro International Airport;Bocas Del Toro;Panama;BOC;MPBO;America/Panama
1809;Cap Manuel Niño International Airport;Changuinola;Panama;CHX;MPCH;America/Panama
1810;Enrique Malek International Airport;David;Panama;DAV;MPDA;America/Panama
1811;Panama Pacific International Airport;Howard;Panama;BLB;MPHO;America/Panama
1812;Marcos A. Gelabert International Airport;Panama;Panama;PAC;MPMG;America/Panama
1813;Ruben Cantu Airport;Santiago;Panama;SYP;MPSA;America/Panama
1814;Tocumen International Airport;Panama City;Panama;PTY;MPTO;America/Panama
1815;Buenos Aires Airport;Buenos Aires;Costa Rica;BAI;MRBA;America/Costa_Rica
1816;Coto 47 Airport;Coto 47;Costa Rica;OTR;MRCC;America/Costa_Rica
1817;Chacarita Airport;Chacarita;Costa Rica;JAP;MRCH;America/Costa_Rica
1818;El Carmen de Siquirres Airport;El Carmen;Costa Rica;NULL;MREC;America/Costa_Rica
1819;Finca 10 / Nuevo Palmar Sur Airport;Finca 10;Costa Rica;NULL;MRFI;America/Costa_Rica
1820;Golfito Airport;Golfito;Costa Rica;GLF;MRGF;America/Costa_Rica
1821;Guapiles Airport;Guapiles;Costa Rica;GPL;MRGP;America/Costa_Rica
1822;Daniel Oduber Quiros International Airport;Liberia;Costa Rica;LIR;MRLB;America/Costa_Rica
1823;Los Chiles Airport;Los Chiles;Costa Rica;LSL;MRLC;America/Costa_Rica
1824;Limon International Airport;Limon;Costa Rica;LIO;MRLM;America/Costa_Rica
1825;Nosara Airport;Nosara Beach;Costa Rica;NOB;MRNS;America/Costa_Rica
1826;Juan Santamaria International Airport;San Jose;Costa Rica;SJO;MROC;America/Costa_Rica
1827;Pandora Airport;Pandora;Costa Rica;NULL;MRPD;America/Costa_Rica
1828;Palmar Sur Airport;Palmar Sur;Costa Rica;PMZ;MRPM;America/Costa_Rica
1829;Quepos Managua Airport;Quepos;Costa Rica;XQP;MRQP;America/Costa_Rica
1830;Santa Clara De Guapiles Airport;Santa Clara;Costa Rica;NULL;MRSG;America/Costa_Rica
1831;San Vito De Java Airport;San Vito De Jaba;Costa Rica;TOO;MRSV;America/Costa_Rica
1832;Monseñor Óscar Arnulfo Romero International Airport;San Salvador;El Salvador;SAL;MSLP;America/El_Salvador
1833;Ilopango International Airport;San Salvador;El Salvador;NULL;MSSS;America/El_Salvador
1834;Les Cayes Airport;Cayes;Haiti;CYA;MTCA;America/Port-au-Prince
1835;Cap Haitien International Airport;Cap Haitien;Haiti;CAP;MTCH;America/Port-au-Prince
1836;Jacmel Airport;Jacmel;Haiti;JAK;MTJA;America/Port-au-Prince
1837;Toussaint Louverture International Airport;Port-au-prince;Haiti;PAP;MTPP;America/Port-au-Prince
1838;Gustavo Rizo Airport;Baracoa Playa;Cuba;BCA;MUBA;America/Havana
1839;Carlos Manuel de Cespedes Airport;Bayamo;Cuba;BYM;MUBY;America/Havana
1840;Maximo Gomez Airport;Ciego De Avila;Cuba;AVI;MUCA;America/Havana
1841;Jardines Del Rey Airport;Cunagua;Cuba;CCC;MUCC;America/Havana
1842;Jaime Gonzalez Airport;Cienfuegos;Cuba;CFG;MUCF;America/Havana
1843;Vilo Acuña International Airport;Cayo Largo del Sur;Cuba;CYO;MUCL;America/Havana
1844;Ignacio Agramonte International Airport;Camaguey;Cuba;CMW;MUCM;America/Havana
1845;Antonio Maceo International Airport;Santiago De Cuba;Cuba;SCU;MUCU;America/Havana
1846;Florida Airport;Florida;Cuba;NULL;MUFL;America/Havana
1847;Mariana Grajales Airport;Guantanamo;Cuba;GAO;MUGT;America/Havana
1848;José Martí International Airport;Havana;Cuba;HAV;MUHA;America/Havana
1849;Frank Pais International Airport;Holguin;Cuba;HOG;MUHG;America/Havana
1850;La Coloma Airport;La Coloma;Cuba;LCL;MULM;America/Havana
1851;Orestes Acosta Airport;Moa;Cuba;MOA;MUMO;America/Havana
1852;Sierra Maestra Airport;Manzanillo;Cuba;MZO;MUMZ;America/Havana
1853;Rafael Cabrera Airport;Nueva Gerona;Cuba;GER;MUNG;America/Havana
1854;Playa Baracoa Airport;Baracoa Playa;Cuba;UPB;MUPB;America/Havana
1855;Pinar Del Rio Airport;Pinar Del Rio Norte;Cuba;QPD;MUPR;America/Havana
1856;San Antonio De Los Banos Airport;San Antonio De Banos;Cuba;NULL;MUSA;America/Havana
1857;Abel Santamaria Airport;Santa Clara;Cuba;SNU;MUSC;America/Havana
1858;Joaquín de Agüero Airport;Santa Lucia;Cuba;NULL;MUSL;America/Havana
1859;Siguanea Airport;Siguanea;Cuba;SZJ;MUSN;America/Havana
1860;Sancti Spiritus Airport;Sancti Spiritus;Cuba;USS;MUSS;America/Havana
1861;Juan Gualberto Gomez International Airport;Varadero;Cuba;VRA;MUVR;America/Havana
1862;Hermanos Ameijeiras Airport;Las Tunas;Cuba;VTU;MUVT;America/Havana
1863;Gerrard Smith International Airport;Cayman Brac;Cayman Islands;CYB;MWCB;America/Cayman
1864;Owen Roberts International Airport;Georgetown;Cayman Islands;GCM;MWCR;America/Cayman
1865;Clarence A. Bain Airport;Clarence Bain;Bahamas;MAY;MYAB;America/Nassau
1866;Andros Town Airport;Andros Town;Bahamas;ASD;MYAF;America/Nassau
1867;Leonard M Thompson International Airport;Marsh Harbor;Bahamas;MHH;MYAM;America/Nassau
1868;San Andros Airport;San Andros;Bahamas;SAQ;MYAN;America/Nassau
1869;Spring Point Airport;Spring Point;Bahamas;AXP;MYAP;America/Nassau
1870;Sandy Point Airport;Sandy Point;Bahamas;NULL;MYAS;America/Nassau
1871;Treasure Cay Airport;Treasure Cay;Bahamas;TCB;MYAT;America/Nassau
1872;Chub Cay Airport;Chub Cay;Bahamas;CCZ;MYBC;America/Nassau
1873;Great Harbour Cay Airport;Bullocks Harbour;Bahamas;GHC;MYBG;America/Nassau
1874;South Bimini Airport;Alice Town;Bahamas;BIM;MYBS;America/Nassau
1875;Exuma International Airport;Great Exuma;Bahamas;GGT;MYEF;America/Nassau
1876;George Town Airport;George Town;Bahamas;NULL;MYEG;America/Nassau
1877;North Eleuthera Airport;North Eleuthera;Bahamas;ELH;MYEH;America/Nassau
1878;Governor's Harbour Airport;Governor's Harbor;Bahamas;GHB;MYEM;America/Nassau
1879;Normans Cay Airport;Norman's Cay;Bahamas;NMC;MYEN;America/Nassau
1880;Rock Sound Airport;Rock Sound;Bahamas;RSD;MYER;America/Nassau
1881;Staniel Cay Airport;Staniel Cay;Bahamas;TYM;MYES;America/Nassau
1882;Grand Bahama International Airport;Freeport;Bahamas;FPO;MYGF;America/Nassau
1883;Inagua Airport;Matthew Town;Bahamas;IGA;MYIG;America/Nassau
1884;Deadman's Cay Airport;Dead Man's Cay;Bahamas;LGI;MYLD;America/Nassau
1885;Stella Maris Airport;Stella Maris;Bahamas;SML;MYLS;America/Nassau
1886;Mayaguana Airport;Mayaguana;Bahamas;MYG;MYMM;America/Nassau
1887;Lynden Pindling International Airport;Nassau;Bahamas;NAS;MYNN;America/Nassau
1888;Duncan Town Airport;Duncan Town;Bahamas;DCT;MYRD;America/Nassau
1889;Rum Cay Airport;Port Nelson;Bahamas;RCY;MYRP;America/Nassau
1890;San Salvador Airport;Cockburn Town;Bahamas;ZSA;MYSM;America/Nassau
1891;Philip S. W. Goldson International Airport;Belize City;Belize;BZE;MZBZ;America/Belize
1892;Aitutaki Airport;Aitutaki;Cook Islands;AIT;NCAI;Pacific/Rarotonga
1893;Rarotonga International Airport;Avarua;Cook Islands;RAR;NCRG;Pacific/Rarotonga
1894;Nadi International Airport;Nandi;Fiji;NAN;NFFN;Pacific/Fiji
1895;Nausori International Airport;Nausori;Fiji;SUV;NFNA;Pacific/Fiji
1896;Fua'amotu International Airport;Tongatapu;Tonga;TBU;NFTF;Pacific/Tongatapu
1897;Vava'u International Airport;Vava'u;Tonga;VAV;NFTV;Pacific/Tongatapu
1898;Bonriki International Airport;Tarawa;Kiribati;TRW;NGTA;Pacific/Tarawa
1899;Hihifo Airport;Wallis;Wallis and Futuna;WLS;NLWW;Pacific/Wallis
1900;Faleolo International Airport;Faleolo;Samoa;APW;NSFA;Pacific/Apia
1901;Pago Pago International Airport;Pago Pago;American Samoa;PPG;NSTU;Pacific/Pago_Pago
1902;Tubuai Airport;Tubuai;French Polynesia;TUB;NTAT;Pacific/Tahiti
1903;Anaa Airport;Anaa;French Polynesia;AAA;NTGA;Pacific/Tahiti
1904;Fangatau Airport;Fangatau;French Polynesia;FGU;NTGB;Pacific/Tahiti
1905;Tikehau Airport;Tikehau;French Polynesia;TIH;NTGC;Pacific/Tahiti
1906;Fakarava Airport;Fakarava;French Polynesia;FAV;NTGF;Pacific/Tahiti
1907;Manihi Airport;Manihi;French Polynesia;XMH;NTGI;Pacific/Tahiti
1908;Totegegie Airport;Totegegie;French Polynesia;GMR;NTGJ;Pacific/Gambier
1909;Kaukura Airport;Kaukura Atoll;French Polynesia;KKR;NTGK;Pacific/Tahiti
1910;Makemo Airport;Makemo;French Polynesia;MKP;NTGM;Pacific/Tahiti
1911;Puka Puka Airport;Puka Puka;French Polynesia;PKP;NTGP;Pacific/Tahiti
1912;Takapoto Airport;Takapoto;French Polynesia;TKP;NTGT;Pacific/Tahiti
1913;Arutua Airport;Arutua;French Polynesia;AXR;NTGU;Pacific/Tahiti
1914;Mataiva Airport;Mataiva;French Polynesia;MVT;NTGV;Pacific/Tahiti
1915;Takaroa Airport;Takaroa;French Polynesia;TKX;NTKR;Pacific/Tahiti
1916;Nuku Hiva Airport;Nuku Hiva;French Polynesia;NHV;NTMD;Pacific/Marquesas
1917;Bora Bora Airport;Bora Bora;French Polynesia;BOB;NTTB;Pacific/Tahiti
1918;Rangiroa Airport;Rangiroa;French Polynesia;RGI;NTTG;Pacific/Tahiti
1919;Huahine-Fare Airport;Huahine Island;French Polynesia;HUH;NTTH;Pacific/Tahiti
1920;Moorea Airport;Moorea;French Polynesia;MOZ;NTTM;Pacific/Tahiti
1921;Maupiti Airport;Maupiti;French Polynesia;MAU;NTTP;Pacific/Tahiti
1922;Raiatea Airport;Raiatea Island;French Polynesia;RFP;NTTR;Pacific/Tahiti
1923;Bauerfield International Airport;Port-vila;Vanuatu;VLI;NVVV;Pacific/Efate
1924;Koné Airport;Kone;New Caledonia;KNQ;NWWD;Pacific/Noumea
1925;Koumac Airport;Koumac;New Caledonia;KOC;NWWK;Pacific/Noumea
1926;Lifou Airport;Lifou;New Caledonia;LIF;NWWL;Pacific/Noumea
1927;Nouméa Magenta Airport;Noumea;New Caledonia;GEA;NWWM;Pacific/Noumea
1928;Maré Airport;Mare;New Caledonia;MEE;NWWR;Pacific/Noumea
1929;Touho Airport;Touho;New Caledonia;TOU;NWWU;Pacific/Noumea
1930;Ouvéa Airport;Ouvea;New Caledonia;UVE;NWWV;Pacific/Noumea
1931;La Tontouta International Airport;Noumea;New Caledonia;NOU;NWWW;Pacific/Noumea
1932;Auckland International Airport;Auckland;New Zealand;AKL;NZAA;Pacific/Auckland
1933;Taupo Airport;Taupo;New Zealand;TUO;NZAP;Pacific/Auckland
1934;Ardmore Airport;Ardmore;New Zealand;AMZ;NZAR;Pacific/Auckland
1935;Christchurch International Airport;Christchurch;New Zealand;CHC;NZCH;Pacific/Auckland
1936;Chatham Islands-Tuuta Airport;Chatham Island;New Zealand;CHT;NZCI;Pacific/Chatham
1937;Dunedin Airport;Dunedin;New Zealand;DUD;NZDN;Pacific/Auckland
1938;Gisborne Airport;Gisborne;New Zealand;GIS;NZGS;Pacific/Auckland
1939;Glentanner Airport;Glentanner;New Zealand;GTN;NZGT;Pacific/Auckland
1940;Hokitika Airfield;Hokitika;New Zealand;HKK;NZHK;Pacific/Auckland
1941;Hamilton International Airport;Hamilton;New Zealand;HLZ;NZHN;Pacific/Auckland
1942;Hastings Aerodrome;Hastings;New Zealand;NULL;NZHS;Pacific/Auckland
1943;Kerikeri Airport;Kerikeri;New Zealand;KKE;NZKK;Pacific/Auckland
1944;Kaitaia Airport;Kaitaia;New Zealand;KAT;NZKT;Pacific/Auckland
1945;Alexandra Airport;Alexandra;New Zealand;ALR;NZLX;Pacific/Auckland
1946;Mount Cook Airport;Mount Cook;New Zealand;MON;NZMC;Pacific/Auckland
1947;Manapouri Airport;Manapouri;New Zealand;TEU;NZMO;Pacific/Auckland
1948;Hood Airport;Masterton;New Zealand;MRO;NZMS;Pacific/Auckland
1949;New Plymouth Airport;New Plymouth;New Zealand;NPL;NZNP;Pacific/Auckland
1950;Nelson Airport;Nelson;New Zealand;NSN;NZNS;Pacific/Auckland
1951;Invercargill Airport;Invercargill;New Zealand;IVC;NZNV;Pacific/Auckland
1952;RNZAF Base Ohakea;Ohakea;New Zealand;OHA;NZOH;Pacific/Auckland
1953;Oamaru Airport;Oamaru;New Zealand;OAM;NZOU;Pacific/Auckland
1954;Palmerston North Airport;Palmerston North;New Zealand;PMR;NZPM;Pacific/Auckland
1955;Paraparaumu Airport;Paraparaumu;New Zealand;PPQ;NZPP;Pacific/Auckland
1956;Queenstown International Airport;Queenstown International;New Zealand;ZQN;NZQN;Pacific/Auckland
1957;Rotorua Regional Airport;Rotorua;New Zealand;ROT;NZRO;Pacific/Auckland
1958;Waiouru Airport;Waiouru;New Zealand;NULL;NZRU;Pacific/Auckland
1959;South Pole Station Airport;Stephen's Island;Antarctica;NULL;NZSP;Antarctica/South_Pole
1960;Tauranga Airport;Tauranga;New Zealand;TRG;NZTG;Pacific/Auckland
1961;Timaru Airport;Timaru;New Zealand;TIU;NZTU;Pacific/Auckland
1962;Pukaki Airport;Pukaki;New Zealand;TWZ;NZUK;Pacific/Auckland
1963;Woodbourne Airport;Woodbourne;New Zealand;BHE;NZWB;Pacific/Auckland
1964;Williams Field;Weydon;Antarctica;NULL;NZWD;Antarctica/South_Pole
1965;Wanaka Airport;Wanaka;New Zealand;WKA;NZWF;Pacific/Auckland
1966;Wigram Airport;Wigram;New Zealand;NULL;NZWG;Pacific/Auckland
1967;Whakatane Airport;Whakatane;New Zealand;WHK;NZWK;Pacific/Auckland
1968;Wellington International Airport;Wellington;New Zealand;WLG;NZWN;Pacific/Auckland
1969;Wairoa Airport;Wairoa;New Zealand;WIR;NZWO;Pacific/Auckland
1970;RNZAF Base Auckland-Whenuapai;Whenuapai;New Zealand;NULL;NZWP;Pacific/Auckland
1971;Whangarei Airport;Whangarei;New Zealand;WRE;NZWR;Pacific/Auckland
1972;Westport Airport;Westport;New Zealand;WSZ;NZWS;Pacific/Auckland
1973;Wanganui Airport;Wanganui;New Zealand;WAG;NZWU;Pacific/Auckland
1974;Herat Airport;Herat;Afghanistan;HEA;OAHR;Asia/Kabul
1975;Jalalabad Airport;Jalalabad;Afghanistan;JAA;OAJL;Asia/Kabul
1976;Hamid Karzai International Airport;Kabul;Afghanistan;KBL;OAKB;Asia/Kabul
1977;Kandahar Airport;Kandahar;Afghanistan;KDH;OAKN;Asia/Kabul
1978;Maimana Airport;Maimama;Afghanistan;MMZ;OAMN;Asia/Kabul
1979;Mazar I Sharif Airport;Mazar-i-sharif;Afghanistan;MZR;OAMS;Asia/Kabul
1980;Shindand Airport;Shindand;Afghanistan;OAH;OASD;Asia/Kabul
1981;Sheberghan Airport;Sheberghan;Afghanistan;NULL;OASG;Asia/Kabul
1982;Konduz Airport;Kunduz;Afghanistan;UND;OAUZ;Asia/Kabul
1983;Bahrain International Airport;Bahrain;Bahrain;BAH;OBBI;Asia/Bahrain
1984;Sheik Isa Air Base;Bahrain;Bahrain;NULL;OBBS;Asia/Bahrain
1985;Abha Regional Airport;Abha;Saudi Arabia;AHB;OEAB;Asia/Riyadh
1986;Al Ahsa Airport;Al-ahsa;Saudi Arabia;HOF;OEAH;Asia/Riyadh
1987;Al Baha Airport;El-baha;Saudi Arabia;ABT;OEBA;Asia/Riyadh
1988;Bisha Airport;Bisha;Saudi Arabia;BHH;OEBH;Asia/Riyadh
1989;Abqaiq Airport;Abqaiq;Saudi Arabia;NULL;OEBQ;Asia/Riyadh
1990;King Fahd International Airport;Dammam;Saudi Arabia;DMM;OEDF;Asia/Riyadh
1991;King Abdulaziz Air Base;Dhahran;Saudi Arabia;DHA;OEDR;Asia/Riyadh
1992;Jizan Regional Airport;Gizan;Saudi Arabia;GIZ;OEGN;Asia/Riyadh
1993;Gassim Airport;Gassim;Saudi Arabia;ELQ;OEGS;Asia/Riyadh
1994;Gurayat Domestic Airport;Guriat;Saudi Arabia;URY;OEGT;Asia/Riyadh
1995;Ha'il Airport;Hail;Saudi Arabia;HAS;OEHL;Asia/Riyadh
1996;Jubail Airport;Jubail;Saudi Arabia;QJB;OEJB;Asia/Riyadh
1997;King Faisal Naval Base;Jeddah;Saudi Arabia;NULL;OEJF;Asia/Riyadh
1998;King Abdulaziz International Airport;Jeddah;Saudi Arabia;JED;OEJN;Asia/Riyadh
1999;King Khaled Military City Airport;King Khalid Mil.city;Saudi Arabia;KMC;OEKK;Asia/Riyadh
2000;Prince Mohammad Bin Abdulaziz Airport;Madinah;Saudi Arabia;MED;OEMA;Asia/Riyadh
2001;Nejran Airport;Nejran;Saudi Arabia;EAM;OENG;Asia/Riyadh
2002;Al Qaisumah/Hafr Al Batin Airport;Hafr Al-batin;Saudi Arabia;AQI;OEPA;Asia/Riyadh
2003;Pump Station 3 Airport;Petroline 3;Saudi Arabia;NULL;OEPC;Asia/Riyadh
2004;Pump Station 6 Airport;Petroline 6;Saudi Arabia;NULL;OEPF;Asia/Riyadh
2005;Pump Station 10 Airport;Petroline 10;Saudi Arabia;NULL;OEPJ;Asia/Riyadh
2006;Rabigh Airport;Rabigh;Saudi Arabia;NULL;OERB;Asia/Riyadh
2007;Rafha Domestic Airport;Rafha;Saudi Arabia;RAH;OERF;Asia/Riyadh
2008;King Khaled International Airport;Riyadh;Saudi Arabia;RUH;OERK;Asia/Riyadh
2009;Ras Mishab Airport;Rash Mishab;Saudi Arabia;NULL;OERM;Asia/Riyadh
2010;Arar Domestic Airport;Arar;Saudi Arabia;RAE;OERR;Asia/Riyadh
2011;Ras Tanura Airport;Ras Tanura;Saudi Arabia;NULL;OERT;Asia/Riyadh
2012;Sharurah Airport;Sharurah;Saudi Arabia;SHW;OESH;Asia/Riyadh
2013;Sulayel Airport;Sulayel;Saudi Arabia;SLF;OESL;Asia/Riyadh
2014;Tabuk Airport;Tabuk;Saudi Arabia;TUU;OETB;Asia/Riyadh
2015;Ta’if Regional Airport;Taif;Saudi Arabia;TIF;OETF;Asia/Riyadh
2016;Thumamah Airport;Thumamah;Saudi Arabia;NULL;OETH;Asia/Riyadh
2017;Ras Tanajib Airport;Ras Tanajib;Saudi Arabia;NULL;OETN;Asia/Riyadh
2018;Turaif Domestic Airport;Turaif;Saudi Arabia;TUI;OETR;Asia/Riyadh
2019;Al Wajh Domestic Airport;Wejh;Saudi Arabia;EJH;OEWJ;Asia/Riyadh
2020;Prince Abdulmohsin Bin Abdulaziz Airport;Yenbo;Saudi Arabia;YNB;OEYN;Asia/Riyadh
2021;Abadan Airport;Abadan;Iran;ABD;OIAA;Asia/Tehran
2022;Dezful Airport;Dezful;Iran;DEF;OIAD;Asia/Tehran
2023;Aghajari Airport;Aghajari;Iran;AKW;OIAG;Asia/Tehran
2024;Gachsaran Airport;Gachsaran;Iran;GCH;OIAH;Asia/Tehran
2025;Shahid Asyaee Airport;Masjed Soleiman;Iran;NULL;OIAI;Asia/Tehran
2026;Omidiyeh Airport;Omidyeh;Iran;OMI;OIAJ;Asia/Tehran
2027;Mahshahr Airport;Bandar Mahshahr;Iran;MRX;OIAM;Asia/Tehran
2028;Ahwaz Airport;Ahwaz;Iran;AWZ;OIAW;Asia/Tehran
2029;Abu Musa Island Airport;Abumusa I.;Iran;AEU;OIBA;Asia/Tehran
2030;Bushehr Airport;Bushehr;Iran;BUZ;OIBB;Asia/Tehran
2031;Bastak Airport;Bastak;Iran;NULL;OIBH;Asia/Tehran
2032;Asaloyeh Airport;Golbandi;Iran;NULL;OIBI;Asia/Tehran
2033;Kish International Airport;Kish Island;Iran;KIH;OIBK;Asia/Tehran
2034;Bandar Lengeh Airport;Bandar Lengeh;Iran;BDH;OIBL;Asia/Tehran
2035;Khark Island Airport;Khark Island;Iran;KHK;OIBQ;Asia/Tehran
